special_point,lag_deg,acf,fisher_ci_lo,fisher_ci_hi
Mesarthim,24,0.295274,0.197954,0.386830
Mesarthim,30,0.325935,0.230333,0.415305
Mesarthim,36,0.269253,0.170640,0.362526
Mesarthim,40,0.198652,0.097287,0.295937
Mesarthim,45,0.130508,0.027517,0.230757
Mesarthim,51,0.102086,-0.001290,0.203302
Mesarthim,60,0.165808,0.063535,0.264634
Mesarthim,72,0.147208,0.044524,0.246815
Mesarthim,90,-0.017469,-0.120613,0.086048
Mesarthim,120,-0.174678,-0.273108,-0.072627
Mesarthim,180,-0.364609,-0.450975,-0.271479
Sun,24,0.103136,-0.000229,0.204319
Sun,30,0.144670,0.041936,0.244378
Sun,36,0.174875,0.072830,0.273297
Sun,40,0.023355,-0.080200,0.126412
Sun,45,0.171131,0.068990,0.269722
Sun,51,0.118760,0.015590,0.219429
Sun,60,-0.043598,-0.146301,0.060034
Sun,72,0.048489,-0.055150,0.151093
Sun,90,-0.035861,-0.138709,0.067752
Sun,120,-0.108269,-0.209289,-0.004963
Sun,180,-0.172148,-0.270693,-0.070033
Moon,24,0.005440,-0.097977,0.108740
Moon,30,-0.008307,-0.111573,0.095137
Moon,36,-0.063587,-0.165859,0.040038
Moon,40,-0.079624,-0.181492,0.023935
Moon,45,0.036642,-0.066974,0.139475
Moon,51,0.025798,-0.077772,0.128816
Moon,60,0.057902,-0.045733,0.160305
Moon,72,0.052116,-0.051523,0.154645
Moon,90,0.053114,-0.050526,0.155621
Moon,120,0.064823,-0.038799,0.167065
Moon,180,0.022174,-0.081374,0.125249
Mercury,24,0.083605,-0.019929,0.185365
Mercury,30,0.104295,0.000943,0.205442
Mercury,36,0.118890,0.015721,0.219554
Mercury,40,0.151639,0.049046,0.251066
Mercury,45,-0.004388,-0.107701,0.099019
Mercury,51,0.008905,-0.094544,0.112164
Mercury,60,-0.013730,-0.116926,0.089759
Mercury,72,0.101785,-0.001594,0.203011
Mercury,90,-0.036288,-0.139128,0.067327
Mercury,120,0.038930,-0.064692,0.141722
Mercury,180,-0.162855,-0.261810,-0.060512
Venus,24,0.110180,0.006896,0.211137
Venus,30,0.071418,-0.032182,0.173499
Venus,36,0.119339,0.016176,0.219987
Venus,40,0.058389,-0.045246,0.160780
Venus,45,0.081626,-0.021921,0.183440
Venus,51,0.038170,-0.065450,0.140976
Venus,60,0.030334,-0.073257,0.133278
Venus,72,-0.019645,-0.122757,0.083888
Venus,90,-0.033404,-0.136295,0.070200
Venus,120,-0.089144,-0.190749,0.014350
Venus,180,-0.071032,-0.173122,0.032569
Mars,24,0.217483,0.116746,0.313791
Mars,30,0.175410,0.073379,0.273808
Mars,36,0.129011,0.025996,0.229315
Mars,40,0.086890,-0.016621,0.188559
Mars,45,-0.011518,-0.114744,0.091953
Mars,51,0.061951,-0.041677,0.164261
Mars,60,0.072491,-0.031104,0.174545
Mars,72,0.032893,-0.070709,0.135793
Mars,90,-0.034413,-0.137286,0.069195
Mars,120,-0.147106,-0.246717,-0.044420
Mars,180,-0.012570,-0.115781,0.090910
Jupiter,24,0.180838,0.078952,0.278985
Jupiter,30,0.214667,0.113831,0.311126
Jupiter,36,0.211308,0.110357,0.307944
Jupiter,40,0.214943,0.114116,0.311387
Jupiter,45,0.123392,0.020289,0.223898
Jupiter,51,0.127034,0.023987,0.227409
Jupiter,60,0.086506,-0.017008,0.188185
Jupiter,72,0.090721,-0.012760,0.192280
Jupiter,90,-0.028100,-0.131081,0.075481
Jupiter,120,-0.062668,-0.164961,0.040959
Jupiter,180,-0.308544,-0.399175,-0.211941
Saturn,24,0.238077,0.138114,0.333238
Saturn,30,0.249622,0.150134,0.344106
Saturn,36,0.300058,0.202992,0.391284
Saturn,40,0.161260,0.058880,0.260284
Saturn,45,0.155072,0.052553,0.254357
Saturn,51,0.068955,-0.034654,0.171097
Saturn,60,0.209004,0.107975,0.305761
Saturn,72,0.047305,-0.056333,0.149933
Saturn,90,-0.003270,-0.106595,0.100126
Saturn,120,-0.152957,-0.252329,-0.050391
Saturn,180,-0.223319,-0.319311,-0.122792
Uranus,24,0.234775,0.134681,0.330126
Uranus,30,0.274557,0.176196,0.367490
Uranus,36,0.240122,0.140241,0.335166
Uranus,40,0.167552,0.065322,0.266302
Uranus,45,0.152239,0.049658,0.251641
Uranus,51,0.112197,0.008939,0.213088
Uranus,60,0.105916,0.002582,0.207011
Uranus,72,0.086130,-0.017387,0.187820
Uranus,90,-0.079504,-0.181375,0.024056
Uranus,120,-0.120372,-0.220985,-0.017225
Uranus,180,-0.314632,-0.404828,-0.218371
Neptune,24,0.283692,0.185778,0.376028
Neptune,30,0.301471,0.204481,0.392599
Neptune,36,0.241615,0.141795,0.336572
Neptune,40,0.229282,0.128976,0.324943
Neptune,45,0.147585,0.044908,0.247176
Neptune,51,0.119446,0.016285,0.220090
Neptune,60,0.218432,0.117728,0.314689
Neptune,72,0.067269,-0.036345,0.169453
Neptune,90,-0.007281,-0.110560,0.096153
Neptune,120,-0.231071,-0.326632,-0.130834
Neptune,180,-0.249283,-0.343786,-0.149780
Pluto,24,0.305786,0.209031,0.396612
Pluto,30,0.272059,0.173578,0.365153
Pluto,36,0.228988,0.128672,0.324666
Pluto,40,0.196739,0.095315,0.294120
Pluto,45,0.123648,0.020549,0.224146
Pluto,51,0.063557,-0.040068,0.165829
Pluto,60,0.222728,0.122179,0.318752
Pluto,72,0.124676,0.021593,0.225137
Pluto,90,-0.028071,-0.131053,0.075510
Pluto,120,-0.197689,-0.295023,-0.096295
Pluto,180,-0.341163,-0.429383,-0.246493
Rahu,24,0.278615,0.180450,0.371285
Rahu,30,0.292033,0.194543,0.383809
Rahu,36,0.262902,0.163996,0.356574
Rahu,40,0.200630,0.099328,0.297816
Rahu,45,0.170079,0.067911,0.268717
Rahu,51,0.112096,0.008837,0.212990
Rahu,60,0.124659,0.021575,0.225120
Rahu,72,0.030437,-0.073155,0.133380
Rahu,90,-0.058341,-0.160733,0.045294
Rahu,120,-0.135830,-0.235880,-0.032931
Rahu,180,-0.183978,-0.281978,-0.082179
