bin_deg,gauquelin_extracted_norm,Sun_residual_sigma30_norm,Moon_residual_sigma30_norm,Mercury_residual_sigma30_norm,Venus_residual_sigma30_norm,Mars_residual_sigma30_norm,Jupiter_residual_sigma30_norm,Saturn_residual_sigma30_norm,Uranus_residual_sigma30_norm,Neptune_residual_sigma30_norm,Pluto_residual_sigma30_norm,Rahu_residual_sigma30_norm
119,+1.608325e-02,-4.901546e-01,-3.066984e-01,-5.066391e-01,-5.802488e-02,-3.761161e-01,+3.970999e-01,-6.033709e-02,+4.623758e-01,+5.709188e-01,+3.129143e-01,+7.636488e-02
120,+1.608325e-02,-4.992499e-01,-3.194170e-01,-5.173640e-01,-6.254069e-02,-3.797894e-01,+3.763429e-01,-5.839827e-02,+4.442988e-01,+5.541441e-01,+3.138023e-01,+8.397240e-02
121,+3.500473e-02,-5.082381e-01,-3.322499e-01,-5.278385e-01,-6.706193e-02,-3.832895e-01,+3.554757e-01,-5.551060e-02,+4.258517e-01,+5.381747e-01,+3.151951e-01,+9.209657e-02
122,+3.500473e-02,-5.171296e-01,-3.451832e-01,-5.380627e-01,-7.161470e-02,-3.865433e-01,+3.345695e-01,-5.109123e-02,+4.071828e-01,+5.229316e-01,+3.171591e-01,+1.010889e-01
123,+3.500473e-02,-5.259400e-01,-3.582321e-01,-5.480718e-01,-7.621632e-02,-3.895835e-01,+3.134603e-01,-4.556175e-02,+3.882434e-01,+5.077701e-01,+3.191160e-01,+1.108076e-01
124,+3.500473e-02,-5.346674e-01,-3.713736e-01,-5.578428e-01,-8.090556e-02,-3.923632e-01,+2.922999e-01,-3.883224e-02,+3.691757e-01,+4.932175e-01,+3.212993e-01,+1.212042e-01
125,+3.500473e-02,-5.432964e-01,-3.846119e-01,-5.673876e-01,-8.568259e-02,-3.948757e-01,+2.711805e-01,-3.127182e-02,+3.495934e-01,+4.795981e-01,+3.236961e-01,+1.321911e-01
126,+3.500473e-02,-5.518417e-01,-3.979295e-01,-5.766978e-01,-9.057691e-02,-3.970543e-01,+2.502329e-01,-2.276954e-02,+3.302662e-01,+4.663894e-01,+3.266296e-01,+1.439809e-01
127,+3.500473e-02,-5.603204e-01,-4.113331e-01,-5.858162e-01,-9.560450e-02,-3.989450e-01,+2.292696e-01,-1.378192e-02,+3.106203e-01,+4.531373e-01,+3.293307e-01,+1.561532e-01
128,+5.392621e-02,-5.686998e-01,-4.248150e-01,-5.947296e-01,-1.007611e-01,-4.004899e-01,+2.087713e-01,-3.334541e-03,+2.909358e-01,+4.411034e-01,+3.323557e-01,+1.688080e-01
129,+5.392621e-02,-5.769988e-01,-4.383673e-01,-6.034511e-01,-1.060990e-01,-4.016718e-01,+1.884771e-01,+7.613009e-03,+2.709950e-01,+4.296664e-01,+3.353633e-01,+1.817832e-01
130,+5.392621e-02,-5.852144e-01,-4.519497e-01,-6.119621e-01,-1.115975e-01,-4.024159e-01,+1.685259e-01,+1.991632e-02,+2.513433e-01,+4.188682e-01,+3.386820e-01,+1.953534e-01
131,+5.392621e-02,-5.933527e-01,-4.655968e-01,-6.202983e-01,-1.172859e-01,-4.028226e-01,+1.490437e-01,+3.285012e-02,+2.316476e-01,+4.086797e-01,+3.419986e-01,+2.091008e-01
132,+7.284768e-02,-6.014130e-01,-4.792707e-01,-6.284549e-01,-1.231907e-01,-4.027941e-01,+1.301503e-01,+4.627037e-02,+2.124318e-01,+3.991469e-01,+3.450060e-01,+2.232666e-01
133,+7.284768e-02,-6.093614e-01,-4.929779e-01,-6.364490e-01,-1.293187e-01,-4.023622e-01,+1.117151e-01,+6.019953e-02,+1.931667e-01,+3.901803e-01,+3.480001e-01,+2.374752e-01
134,+7.284768e-02,-6.172733e-01,-5.067038e-01,-6.443040e-01,-1.356906e-01,-4.015460e-01,+9.376245e-02,+7.462791e-02,+1.744763e-01,+3.819751e-01,+3.506519e-01,+2.519755e-01
135,+9.176916e-02,-6.250805e-01,-5.204314e-01,-6.520035e-01,-1.423026e-01,-4.002673e-01,+7.648354e-02,+8.941093e-02,+1.563782e-01,+3.744208e-01,+3.535223e-01,+2.665197e-01
136,+9.176916e-02,-6.328357e-01,-5.341579e-01,-6.595937e-01,-1.492153e-01,-3.986336e-01,+5.954721e-02,+1.045348e-01,+1.385697e-01,+3.669291e-01,+3.556000e-01,+2.811257e-01
137,+1.106906e-01,-6.405140e-01,-5.478633e-01,-6.670538e-01,-1.563825e-01,-3.965322e-01,+4.338724e-02,+1.202288e-01,+1.215178e-01,+3.608430e-01,+3.576053e-01,+2.956259e-01
138,+1.106906e-01,-6.480832e-01,-5.615421e-01,-6.743887e-01,-1.638385e-01,-3.940415e-01,+2.778598e-02,+1.361189e-01,+1.052830e-01,+3.560188e-01,+3.598961e-01,+3.101856e-01
139,+1.296121e-01,-6.556347e-01,-5.752061e-01,-6.816642e-01,-1.716486e-01,-3.912089e-01,+1.270715e-02,+1.516935e-01,+8.918342e-02,+3.503266e-01,+3.611056e-01,+3.242833e-01
140,+1.296121e-01,-6.631326e-01,-5.888262e-01,-6.888618e-01,-1.797766e-01,-3.880293e-01,-1.638298e-03,+1.671664e-01,+7.386751e-02,+3.452744e-01,+3.618312e-01,+3.381662e-01
141,+1.296121e-01,-6.705555e-01,-6.023847e-01,-6.959681e-01,-1.882231e-01,-3.844949e-01,-1.543825e-02,+1.822844e-01,+5.932410e-02,+3.408776e-01,+3.625247e-01,+3.517109e-01
142,+1.296121e-01,-6.779294e-01,-6.158953e-01,-7.030337e-01,-1.970256e-01,-3.806530e-01,-2.844755e-02,+1.970490e-01,+4.528511e-02,+3.368098e-01,+3.624625e-01,+3.648981e-01
143,+1.296121e-01,-6.852802e-01,-6.293338e-01,-7.100651e-01,-2.061867e-01,-3.765518e-01,-4.107953e-02,+2.110236e-01,+3.173702e-02,+3.320557e-01,+3.617176e-01,+3.773701e-01
144,+1.296121e-01,-6.925581e-01,-6.426816e-01,-7.170507e-01,-2.156915e-01,-3.721458e-01,-5.292396e-02,+2.246698e-01,+1.917205e-02,+3.286715e-01,+3.601455e-01,+3.896560e-01
145,+1.106906e-01,-6.998111e-01,-6.559351e-01,-7.240171e-01,-2.255698e-01,-3.675536e-01,-6.410288e-02,+2.377224e-01,+7.423425e-03,+3.245626e-01,+3.580791e-01,+4.010343e-01
146,+1.106906e-01,-7.069913e-01,-6.690630e-01,-7.309385e-01,-2.357874e-01,-3.627305e-01,-7.446250e-02,+2.502898e-01,-3.033957e-03,+3.213352e-01,+3.558745e-01,+4.117603e-01
147,+9.176916e-02,-7.141389e-01,-6.820807e-01,-7.378727e-01,-2.463915e-01,-3.577566e-01,-8.428626e-02,+2.617151e-01,-1.276733e-02,+3.179361e-01,+3.525493e-01,+4.218416e-01
148,+9.176916e-02,-7.213098e-01,-6.949981e-01,-7.448411e-01,-2.573865e-01,-3.527326e-01,-9.372317e-02,+2.720606e-01,-2.183826e-02,+3.142211e-01,+3.482431e-01,+4.308511e-01
149,+9.176916e-02,-7.284325e-01,-7.077782e-01,-7.518078e-01,-2.687582e-01,-3.476303e-01,-1.026041e-01,+2.814329e-01,-2.994267e-02,+3.108186e-01,+3.438964e-01,+4.389332e-01
150,+9.176916e-02,-7.355690e-01,-7.204376e-01,-7.588298e-01,-2.805330e-01,-3.425791e-01,-1.111439e-01,+2.891896e-01,-3.732486e-02,+3.067705e-01,+3.376902e-01,+4.459420e-01
151,+7.284768e-02,-7.426893e-01,-7.329350e-01,-7.658876e-01,-2.926785e-01,-3.375458e-01,-1.190900e-01,+2.958162e-01,-4.372507e-02,+3.025477e-01,+3.308296e-01,+4.517515e-01
152,+7.284768e-02,-7.498175e-01,-7.452661e-01,-7.729811e-01,-3.052094e-01,-3.325924e-01,-1.264862e-01,+3.011307e-01,-4.889092e-02,+2.988869e-01,+3.233070e-01,+4.564294e-01
153,+7.284768e-02,-7.569712e-01,-7.574406e-01,-7.801456e-01,-3.181319e-01,-3.277961e-01,-1.335092e-01,+3.049124e-01,-5.351361e-02,+2.943438e-01,+3.147793e-01,+4.597334e-01
154,+7.284768e-02,-7.641504e-01,-7.694246e-01,-7.873409e-01,-3.314239e-01,-3.231783e-01,-1.401594e-01,+3.070211e-01,-5.716369e-02,+2.890673e-01,+3.054591e-01,+4.618078e-01
155,+7.284768e-02,-7.713218e-01,-7.812364e-01,-7.945877e-01,-3.450680e-01,-3.188283e-01,-1.464878e-01,+3.078238e-01,-5.975131e-02,+2.830750e-01,+2.950332e-01,+4.625130e-01
156,+5.392621e-02,-7.784790e-01,-7.928324e-01,-8.018891e-01,-3.590589e-01,-3.147441e-01,-1.523747e-01,+3.067341e-01,-6.127464e-02,+2.772729e-01,+2.833259e-01,+4.618812e-01
157,+5.392621e-02,-7.856931e-01,-8.042200e-01,-8.092776e-01,-3.733924e-01,-3.110448e-01,-1.580065e-01,+3.038385e-01,-6.183580e-02,+2.703910e-01,+2.703041e-01,+4.598121e-01
158,+5.392621e-02,-7.928960e-01,-8.153840e-01,-8.166911e-01,-3.880530e-01,-3.077309e-01,-1.633158e-01,+2.994782e-01,-6.124605e-02,+2.636334e-01,+2.569888e-01,+4.561810e-01
159,+5.392621e-02,-8.001819e-01,-8.263450e-01,-8.241927e-01,-4.030497e-01,-3.049025e-01,-1.684095e-01,+2.928911e-01,-6.023753e-02,+2.556882e-01,+2.423402e-01,+4.508675e-01
160,+5.392621e-02,-8.074698e-01,-8.370612e-01,-8.317313e-01,-4.183233e-01,-3.025788e-01,-1.732925e-01,+2.847768e-01,-5.802992e-02,+2.477235e-01,+2.269605e-01,+4.440307e-01
161,+5.392621e-02,-8.147928e-01,-8.475395e-01,-8.393330e-01,-4.339027e-01,-3.008519e-01,-1.779841e-01,+2.744138e-01,-5.510144e-02,+2.379071e-01,+2.099896e-01,+4.354160e-01
162,+5.392621e-02,-8.221468e-01,-8.577496e-01,-8.469446e-01,-4.497500e-01,-2.997262e-01,-1.826203e-01,+2.620700e-01,-5.122157e-02,+2.274899e-01,+1.920495e-01,+4.253120e-01
163,+5.392621e-02,-8.295350e-01,-8.677096e-01,-8.546124e-01,-4.658533e-01,-2.992477e-01,-1.871952e-01,+2.480086e-01,-4.652382e-02,+2.160880e-01,+1.730861e-01,+4.134751e-01
164,+5.392621e-02,-8.369300e-01,-8.773905e-01,-8.622923e-01,-4.821948e-01,-2.994846e-01,-1.916605e-01,+2.322230e-01,-4.104782e-02,+2.046975e-01,+1.538517e-01,+3.999973e-01
165,+5.392621e-02,-8.443746e-01,-8.868073e-01,-8.700196e-01,-4.987703e-01,-3.004930e-01,-1.962381e-01,+2.140262e-01,-3.519970e-02,+1.915339e-01,+1.326017e-01,+3.845908e-01
166,+5.392621e-02,-8.518237e-01,-8.959150e-01,-8.777310e-01,-5.155233e-01,-3.022507e-01,-2.007221e-01,+1.942389e-01,-2.870155e-02,+1.780174e-01,+1.109070e-01,+3.676428e-01
167,+5.392621e-02,-8.592711e-01,-9.047248e-01,-8.854207e-01,-5.324272e-01,-3.048177e-01,-2.052763e-01,+1.728455e-01,-2.125766e-02,+1.632694e-01,+8.798893e-02,+3.490679e-01
168,+5.392621e-02,-8.666938e-01,-9.132065e-01,-8.930384e-01,-5.494638e-01,-3.082323e-01,-2.098255e-01,+1.498430e-01,-1.295304e-02,+1.476153e-01,+6.464178e-02,+3.288647e-01
169,+7.284768e-02,-8.741273e-01,-9.213513e-01,-9.006030e-01,-5.666056e-01,-3.125000e-01,-2.142418e-01,+1.253152e-01,-4.255944e-03,+1.317991e-01,+4.032605e-02,+3.071083e-01
170,+7.284768e-02,-8.815847e-01,-9.291784e-01,-9.080993e-01,-5.838566e-01,-3.177011e-01,-2.189442e-01,+9.823556e-02,+5.015451e-03,+1.140691e-01,+1.471232e-02,+2.833897e-01
171,+7.284768e-02,-8.890112e-01,-9.366648e-01,-9.154869e-01,-6.011693e-01,-3.237885e-01,-2.236591e-01,+6.964206e-02,+1.475838e-02,+9.564673e-02,-1.157726e-02,+2.582179e-01
172,+7.284768e-02,-8.963643e-01,-9.437875e-01,-9.227823e-01,-6.184885e-01,-3.308239e-01,-2.283204e-01,+3.997038e-02,+2.497509e-02,+7.627742e-02,-3.846864e-02,+2.314741e-01
173,+7.284768e-02,-9.036823e-01,-9.505416e-01,-9.299043e-01,-6.357967e-01,-3.387922e-01,-2.330894e-01,+8.527208e-03,+3.538459e-02,+5.597601e-02,-6.633977e-02,+2.032279e-01
174,+3.500473e-02,-9.109117e-01,-9.569032e-01,-9.368562e-01,-6.530717e-01,-3.476439e-01,-2.379250e-01,-2.406401e-02,+4.639248e-02,+3.533055e-02,-9.444584e-02,+1.736394e-01
175,+1.608325e-02,-9.180285e-01,-9.628821e-01,-9.436177e-01,-6.702786e-01,-3.574268e-01,-2.428002e-01,-5.766091e-02,+5.765525e-02,+1.399030e-02,-1.236243e-01,+1.426202e-01
176,-2.838221e-03,-9.250151e-01,-9.684495e-01,-9.501398e-01,-6.873734e-01,-3.681288e-01,-2.477357e-01,-9.262800e-02,+6.940262e-02,-8.571567e-03,-1.531072e-01,+1.103877e-01
177,-5.960265e-02,-9.318755e-01,-9.736204e-01,-9.564219e-01,-7.043570e-01,-3.797904e-01,-2.527880e-01,-1.287764e-01,+8.119137e-02,-3.182073e-02,-1.830445e-01,+7.679332e-02
178,-7.852412e-02,-9.385965e-01,-9.783537e-01,-9.624132e-01,-7.211706e-01,-3.923611e-01,-2.579049e-01,-1.657735e-01,+9.281235e-02,-5.573620e-02,-2.136410e-01,+4.201342e-02
179,-9.744560e-02,-9.451278e-01,-9.826796e-01,-9.680948e-01,-7.377967e-01,-4.058221e-01,-2.630168e-01,-2.039503e-01,+1.043711e-01,-8.077744e-02,-2.447040e-01,+6.160695e-03
180,-1.163671e-01,-9.514183e-01,-9.865240e-01,-9.734067e-01,-7.541649e-01,-4.200714e-01,-2.680803e-01,-2.421732e-01,+1.163026e-01,-1.056411e-01,-2.757475e-01,-3.056253e-02
181,-1.542100e-01,-9.574674e-01,-9.899101e-01,-9.783280e-01,-7.702727e-01,-4.351639e-01,-2.732013e-01,-2.808417e-01,+1.284778e-01,-1.314701e-01,-3.071849e-01,-6.818982e-02
182,-1.920530e-01,-9.632514e-01,-9.928334e-01,-9.828372e-01,-7.860910e-01,-4.510405e-01,-2.783548e-01,-3.202527e-01,+1.399491e-01,-1.580121e-01,-3.392346e-01,-1.065943e-01
183,-2.109745e-01,-9.687501e-01,-9.952669e-01,-9.868850e-01,-8.015719e-01,-4.676830e-01,-2.834604e-01,-3.598137e-01,+1.514119e-01,-1.843154e-01,-3.706054e-01,-1.456095e-01
184,-2.298959e-01,-9.739100e-01,-9.972065e-01,-9.904677e-01,-8.166862e-01,-4.850029e-01,-2.885940e-01,-3.995507e-01,+1.627556e-01,-2.115863e-01,-4.023918e-01,-1.853838e-01
185,-2.677389e-01,-9.786770e-01,-9.986488e-01,-9.935273e-01,-8.314005e-01,-5.029536e-01,-2.936321e-01,-4.389536e-01,+1.739351e-01,-2.387018e-01,-4.342443e-01,-2.252765e-01
186,-2.677389e-01,-9.830655e-01,-9.995820e-01,-9.960374e-01,-8.456798e-01,-5.214912e-01,-2.985298e-01,-4.782202e-01,+1.848209e-01,-2.659038e-01,-4.660742e-01,-2.656963e-01
187,-2.866604e-01,-9.870361e-01,-1.000000e+00,-9.979871e-01,-8.595189e-01,-5.405941e-01,-3.033753e-01,-5.174818e-01,+1.949909e-01,-2.933322e-01,-4.973597e-01,-3.063106e-01
188,-3.245033e-01,-9.905408e-01,-9.998821e-01,-9.993178e-01,-8.728380e-01,-5.601643e-01,-3.080042e-01,-5.561711e-01,+2.048944e-01,-3.208111e-01,-5.287550e-01,-3.469205e-01
189,-3.245033e-01,-9.935569e-01,-9.992140e-01,-1.000000e+00,-8.856257e-01,-5.801317e-01,-3.124197e-01,-5.935623e-01,+2.142992e-01,-3.478790e-01,-5.593854e-01,-3.873816e-01
190,-3.434248e-01,-9.960297e-01,-9.980041e-01,-9.999994e-01,-8.978678e-01,-6.004139e-01,-3.166167e-01,-6.297069e-01,+2.233249e-01,-3.748319e-01,-5.894284e-01,-4.274911e-01
191,-3.434248e-01,-9.979591e-01,-9.962481e-01,-9.993114e-01,-9.095476e-01,-6.210246e-01,-3.205934e-01,-6.653978e-01,+2.313649e-01,-4.015589e-01,-6.192056e-01,-4.672707e-01
192,-3.812677e-01,-9.992738e-01,-9.939427e-01,-9.979236e-01,-9.206176e-01,-6.417895e-01,-3.242773e-01,-7.000322e-01,+2.388972e-01,-4.275630e-01,-6.481652e-01,-5.066333e-01
193,-3.812677e-01,-9.999816e-01,-9.910701e-01,-9.957832e-01,-9.310638e-01,-6.626797e-01,-3.278567e-01,-7.337932e-01,+2.455915e-01,-4.537286e-01,-6.767427e-01,-5.452915e-01
194,-4.001892e-01,-1.000000e+00,-9.876162e-01,-9.928492e-01,-9.408354e-01,-6.836067e-01,-3.312427e-01,-7.652742e-01,+2.516461e-01,-4.789661e-01,-7.046478e-01,-5.831713e-01
195,-4.001892e-01,-9.993132e-01,-9.835870e-01,-9.891016e-01,-9.499165e-01,-7.044903e-01,-3.342940e-01,-7.956314e-01,+2.569998e-01,-5.033822e-01,-7.312750e-01,-6.201384e-01
196,-4.001892e-01,-9.979159e-01,-9.789770e-01,-9.845884e-01,-9.583045e-01,-7.252507e-01,-3.371264e-01,-8.244294e-01,+2.612164e-01,-5.277730e-01,-7.570637e-01,-6.560266e-01
197,-4.380322e-01,-9.957744e-01,-9.737863e-01,-9.792461e-01,-9.659871e-01,-7.458254e-01,-3.397253e-01,-8.515921e-01,+2.643522e-01,-5.513283e-01,-7.822339e-01,-6.908795e-01
198,-4.380322e-01,-9.928350e-01,-9.680130e-01,-9.730495e-01,-9.729066e-01,-7.661330e-01,-3.419229e-01,-8.764980e-01,+2.667127e-01,-5.740340e-01,-8.059270e-01,-7.243990e-01
199,-4.569536e-01,-9.890701e-01,-9.616676e-01,-9.659745e-01,-9.790842e-01,-7.861021e-01,-3.436833e-01,-8.994373e-01,+2.678035e-01,-5.958049e-01,-8.290584e-01,-7.564947e-01
200,-4.569536e-01,-9.844575e-01,-9.547250e-01,-9.580313e-01,-9.844872e-01,-8.056028e-01,-3.451744e-01,-9.202259e-01,+2.678541e-01,-6.160203e-01,-8.503581e-01,-7.870911e-01
201,-4.758751e-01,-9.789962e-01,-9.471952e-01,-9.492074e-01,-9.891049e-01,-8.246112e-01,-3.465212e-01,-9.390486e-01,+2.669588e-01,-6.356888e-01,-8.708740e-01,-8.160837e-01
202,-4.758751e-01,-9.725906e-01,-9.390637e-01,-9.394817e-01,-9.929139e-01,-8.429811e-01,-3.473417e-01,-9.549129e-01,+2.652930e-01,-6.534581e-01,-8.894885e-01,-8.431227e-01
203,-4.947966e-01,-9.652941e-01,-9.303711e-01,-9.288633e-01,-9.959221e-01,-8.607069e-01,-3.478615e-01,-9.687429e-01,+2.621054e-01,-6.705288e-01,-9.073145e-01,-8.685242e-01
204,-4.947966e-01,-9.570432e-01,-9.210979e-01,-9.173475e-01,-9.981123e-01,-8.776851e-01,-3.481149e-01,-9.799867e-01,+2.576408e-01,-6.863073e-01,-9.238127e-01,-8.918601e-01
205,-4.947966e-01,-9.478195e-01,-9.112281e-01,-9.049210e-01,-9.994774e-01,-8.937863e-01,-3.479615e-01,-9.886869e-01,+2.521063e-01,-7.011584e-01,-9.386763e-01,-9.131552e-01
206,-4.947966e-01,-9.376133e-01,-9.007919e-01,-8.915911e-01,-1.000000e+00,-9.089892e-01,-3.474615e-01,-9.950686e-01,+2.455636e-01,-7.140583e-01,-9.516644e-01,-9.321044e-01
207,-4.947966e-01,-9.264199e-01,-8.897883e-01,-8.773580e-01,-9.996847e-01,-9.232405e-01,-3.466045e-01,-9.987020e-01,+2.378861e-01,-7.257384e-01,-9.631453e-01,-9.488270e-01
208,-4.947966e-01,-9.142501e-01,-8.782332e-01,-8.622475e-01,-9.985493e-01,-9.364660e-01,-3.456677e-01,-1.000000e+00,+2.288134e-01,-7.360609e-01,-9.735353e-01,-9.634864e-01
209,-4.947966e-01,-9.010968e-01,-8.661326e-01,-8.462704e-01,-9.965949e-01,-9.485906e-01,-3.445339e-01,-9.987632e-01,+2.183545e-01,-7.454640e-01,-9.825402e-01,-9.757322e-01
210,-4.569536e-01,-8.868741e-01,-8.534720e-01,-8.294085e-01,-9.937807e-01,-9.595519e-01,-3.429920e-01,-9.947231e-01,+2.067110e-01,-7.524050e-01,-9.890277e-01,-9.854598e-01
211,-4.569536e-01,-8.716552e-01,-8.402919e-01,-8.117081e-01,-9.901685e-01,-9.693327e-01,-3.414771e-01,-9.884312e-01,+1.937610e-01,-7.588432e-01,-9.943928e-01,-9.927584e-01
212,-4.569536e-01,-8.553828e-01,-8.265685e-01,-7.931397e-01,-9.857015e-01,-9.778174e-01,-3.396369e-01,-9.791733e-01,+1.796718e-01,-7.636328e-01,-9.978211e-01,-9.976639e-01
213,-4.569536e-01,-8.381140e-01,-8.123517e-01,-7.737769e-01,-9.804409e-01,-9.850205e-01,-3.377470e-01,-9.674149e-01,+1.641355e-01,-7.673627e-01,-9.999199e-01,-1.000000e+00
214,-4.569536e-01,-8.198407e-01,-7.976276e-01,-7.536085e-01,-9.743749e-01,-9.908465e-01,-3.356405e-01,-9.535318e-01,+1.474290e-01,-7.693372e-01,-1.000000e+00,-9.997968e-01
215,-4.380322e-01,-8.005462e-01,-7.824035e-01,-7.326817e-01,-9.675059e-01,-9.952816e-01,-3.334156e-01,-9.371134e-01,+1.295560e-01,-7.693892e-01,-9.982187e-01,-9.970551e-01
216,-4.380322e-01,-7.802835e-01,-7.667346e-01,-7.110290e-01,-9.598710e-01,-9.983359e-01,-3.313813e-01,-9.186745e-01,+1.103210e-01,-7.692839e-01,-9.953000e-01,-9.919956e-01
217,-4.191107e-01,-7.590297e-01,-7.505761e-01,-6.886249e-01,-9.514701e-01,-9.999154e-01,-3.291913e-01,-8.977764e-01,+9.012913e-02,-7.671148e-01,-9.903140e-01,-9.843377e-01
218,-4.001892e-01,-7.368450e-01,-7.339946e-01,-6.655558e-01,-9.423182e-01,-1.000000e+00,-3.270580e-01,-8.748373e-01,+6.873376e-02,-7.639694e-01,-9.840779e-01,-9.743017e-01
219,-4.001892e-01,-7.137117e-01,-7.169622e-01,-6.418073e-01,-9.324184e-01,-9.985885e-01,-3.248665e-01,-8.494469e-01,+4.642312e-02,-7.586718e-01,-9.755573e-01,-9.616278e-01
220,-3.812677e-01,-6.896887e-01,-6.995256e-01,-6.174347e-01,-9.218260e-01,-9.957262e-01,-3.230163e-01,-8.223426e-01,+2.284978e-02,-7.530147e-01,-9.658097e-01,-9.467937e-01
221,-3.623463e-01,-6.647590e-01,-6.816880e-01,-5.924536e-01,-9.105178e-01,-9.913398e-01,-3.211001e-01,-7.930598e-01,-1.684545e-03,-7.452945e-01,-9.541371e-01,-9.294676e-01
222,-3.623463e-01,-6.389753e-01,-6.634711e-01,-5.669197e-01,-8.985455e-01,-9.854026e-01,-3.195568e-01,-7.622162e-01,-2.703851e-02,-7.366915e-01,-9.412392e-01,-9.098240e-01
223,-3.434248e-01,-6.123889e-01,-6.448783e-01,-5.408607e-01,-8.859305e-01,-9.779691e-01,-3.181309e-01,-7.294203e-01,-5.320412e-02,-7.277829e-01,-9.268190e-01,-8.880728e-01
224,-3.245033e-01,-5.849993e-01,-6.259369e-01,-5.142909e-01,-8.726655e-01,-9.690022e-01,-3.168448e-01,-6.947245e-01,-8.020222e-02,-7.166232e-01,-9.104319e-01,-8.639634e-01
225,-3.055818e-01,-5.568803e-01,-6.066709e-01,-4.873039e-01,-8.588076e-01,-9.585541e-01,-3.160953e-01,-6.592555e-01,-1.082469e-01,-7.049191e-01,-8.922610e-01,-8.378621e-01
226,-2.866604e-01,-5.280579e-01,-5.870952e-01,-4.598984e-01,-8.443869e-01,-9.466512e-01,-3.156928e-01,-6.224419e-01,-1.373087e-01,-6.931583e-01,-8.733701e-01,-8.097838e-01
227,-2.677389e-01,-4.985583e-01,-5.672310e-01,-4.321131e-01,-8.294173e-01,-9.332983e-01,-3.156788e-01,-5.846452e-01,-1.667617e-01,-6.803620e-01,-8.529704e-01,-7.799300e-01
228,-2.488174e-01,-4.684558e-01,-5.470846e-01,-4.040143e-01,-8.139258e-01,-9.184938e-01,-3.160288e-01,-5.459947e-01,-1.969040e-01,-6.662790e-01,-8.315841e-01,-7.483769e-01
229,-2.298959e-01,-4.377756e-01,-5.266942e-01,-3.756188e-01,-7.979281e-01,-9.022742e-01,-3.166165e-01,-5.064258e-01,-2.271957e-01,-6.517274e-01,-8.085519e-01,-7.151332e-01
230,-2.109745e-01,-4.065621e-01,-5.060764e-01,-3.469463e-01,-7.814491e-01,-8.846357e-01,-3.176424e-01,-4.658586e-01,-2.577818e-01,-6.366908e-01,-7.844666e-01,-6.803587e-01
231,-1.920530e-01,-3.748964e-01,-4.852392e-01,-3.180781e-01,-7.645531e-01,-8.657245e-01,-3.190623e-01,-4.252372e-01,-2.891705e-01,-6.213746e-01,-7.591565e-01,-6.443507e-01
232,-1.731315e-01,-3.428345e-01,-4.642191e-01,-2.890407e-01,-7.472481e-01,-8.455302e-01,-3.210558e-01,-3.841738e-01,-3.208674e-01,-6.060966e-01,-7.326630e-01,-6.071953e-01
233,-1.542100e-01,-3.104212e-01,-4.430247e-01,-2.598823e-01,-7.295636e-01,-8.240614e-01,-3.234427e-01,-3.426036e-01,-3.526884e-01,-5.897020e-01,-7.053929e-01,-5.689277e-01
234,-1.163671e-01,-2.776815e-01,-4.216809e-01,-2.306141e-01,-7.115221e-01,-8.013847e-01,-3.263653e-01,-3.008843e-01,-3.846387e-01,-5.724838e-01,-6.773392e-01,-5.295467e-01
235,-9.744560e-02,-2.447169e-01,-4.001963e-01,-2.012936e-01,-6.931552e-01,-7.775760e-01,-3.298665e-01,-2.590913e-01,-4.165617e-01,-5.550051e-01,-6.481685e-01,-4.894900e-01
236,-5.960265e-02,-2.115364e-01,-3.786016e-01,-1.719632e-01,-6.744940e-01,-7.526558e-01,-3.338234e-01,-2.171152e-01,-4.481565e-01,-5.379636e-01,-6.183255e-01,-4.486687e-01
237,-2.175970e-02,-1.782429e-01,-3.569230e-01,-1.426432e-01,-6.555656e-01,-7.267268e-01,-3.383546e-01,-1.758457e-01,-4.799206e-01,-5.215604e-01,-5.880785e-01,-4.072681e-01
238,-2.838221e-03,-1.448463e-01,-3.351604e-01,-1.133902e-01,-6.364080e-01,-6.997921e-01,-3.432648e-01,-1.349632e-01,-5.110692e-01,-5.042172e-01,-5.569478e-01,-3.654260e-01
